ctgov,dist,parameter,est,se
NCT01087502,gompertz,shape,-1.150e-03,1.358e-03
NCT01087502,gompertz,rate,-7.125e+00,2.614e-01
NCT01126437,gompertz,shape,-1.246e-03,6.732e-05
NCT01126437,gompertz,rate,-7.601e+00,2.760e-02
NCT01126580,gompertz,shape,-2.530e-03,8.198e-04
NCT01126580,gompertz,rate,-7.125e+00,1.486e-01
NCT01131676,gompertz,shape,5.599e-04,1.069e-04
NCT01131676,gompertz,rate,-7.803e+00,8.744e-02
NCT01159600,gompertz,shape,-6.264e-03,2.103e-03
NCT01159600,gompertz,rate,-7.190e+00,1.771e-01
NCT01164501,gompertz,shape,-3.513e-03,1.041e-03
NCT01164501,gompertz,rate,-7.355e+00,1.801e-01
NCT01167881,gompertz,shape,-2.731e-03,2.285e-04
NCT01167881,gompertz,rate,-7.643e+00,9.565e-02
NCT01177813,gompertz,shape,-4.268e-03,2.139e-03
NCT01177813,gompertz,rate,-7.011e+00,1.880e-01
NCT01191268,gompertz,shape,-4.040e-03,8.054e-04
NCT01191268,gompertz,rate,-6.884e+00,1.341e-01
NCT01191944,gompertz,shape,-2.313e-02,5.547e-03
NCT01191944,gompertz,rate,-6.246e+00,2.581e-01
NCT01194830,gompertz,shape,-1.032e-02,3.096e-03
NCT01194830,gompertz,rate,-5.645e+00,2.244e-01
NCT01204294,gompertz,shape,-2.937e-03,1.640e-03
NCT01204294,gompertz,rate,-8.145e+00,2.945e-01
NCT01210001,gompertz,shape,-3.062e-03,3.257e-03
NCT01210001,gompertz,rate,-7.399e+00,2.980e-01
NCT01214239,gompertz,shape,-6.890e-03,3.917e-03
NCT01214239,gompertz,rate,-6.892e+00,3.226e-01
NCT01306214,gompertz,shape,5.229e-05,1.017e-03
NCT01306214,gompertz,rate,-7.695e+00,2.105e-01
NCT01335464,gompertz,shape,-7.989e-04,8.968e-04
NCT01335464,gompertz,rate,-7.136e+00,1.756e-01
NCT01335477,gompertz,shape,-1.152e-03,8.746e-04
NCT01335477,gompertz,rate,-7.082e+00,1.680e-01
NCT01368081,gompertz,shape,-3.159e-04,9.735e-04
NCT01368081,gompertz,rate,-8.289e+00,1.993e-01
NCT01370005,gompertz,shape,1.486e-03,6.737e-03
NCT01370005,gompertz,rate,-7.652e+00,3.387e-01
NCT01422876,gompertz,shape,-2.405e-03,7.019e-04
NCT01422876,gompertz,rate,-7.378e+00,1.286e-01
NCT01558271,gompertz,shape,-3.977e-03,1.496e-03
NCT01558271,gompertz,rate,-7.604e+00,2.539e-01
NCT01621178,gompertz,shape,-3.998e-03,1.029e-03
NCT01621178,gompertz,rate,-6.984e+00,1.738e-01
NCT01624259,gompertz,shape,-4.120e-03,3.139e-03
NCT01624259,gompertz,rate,-7.612e+00,2.988e-01
NCT01694771,gompertz,shape,3.356e-03,4.525e-03
NCT01694771,gompertz,rate,-7.259e+00,2.331e-01
NCT01708902,gompertz,shape,-1.275e-02,2.842e-03
NCT01708902,gompertz,rate,-6.612e+00,2.001e-01
NCT01719003,gompertz,shape,-7.420e-03,1.933e-03
NCT01719003,gompertz,rate,-6.942e+00,1.573e-01
NCT01769378,gompertz,shape,-8.321e-03,4.377e-03
NCT01769378,gompertz,rate,-6.990e+00,3.475e-01
NCT02152371,gompertz,shape,-8.078e-03,3.608e-03
NCT02152371,gompertz,rate,-6.952e+00,3.232e-01
NCT02172287,gompertz,shape,-1.203e-02,2.114e-03
NCT02172287,gompertz,rate,-5.845e+00,1.493e-01
NCT02172586,gompertz,shape,-5.000e-03,2.934e-03
NCT02172586,gompertz,rate,-6.700e+00,2.567e-01
NCT02175355,gompertz,shape,6.641e-03,1.012e-02
NCT02175355,gompertz,rate,-6.636e+00,2.542e-01
NCT02177344,gompertz,shape,-2.498e-02,3.413e-03
NCT02177344,gompertz,rate,-5.742e+00,1.677e-01
NCT02177396,gompertz,shape,-1.216e-02,1.094e-02
NCT02177396,gompertz,rate,-6.252e+00,3.210e-01
NCT02177461,gompertz,shape,-3.426e-03,1.958e-03
NCT02177461,gompertz,rate,-5.976e+00,1.733e-01
NCT02183064,gompertz,shape,-1.330e-02,2.093e-03
NCT02183064,gompertz,rate,-6.619e+00,1.506e-01
NCT02200653,gompertz,shape,3.305e-04,1.402e-02
NCT02200653,gompertz,rate,-7.099e+00,4.659e-01
NCT02240680,gompertz,shape,-7.933e-03,3.126e-03
NCT02240680,gompertz,rate,-7.156e+00,3.231e-01
NCT02489968,gompertz,shape,-3.117e-03,2.198e-03
NCT02489968,gompertz,rate,-8.071e+00,3.360e-01
NCT02750410,gompertz,shape,-2.590e-03,2.373e-03
NCT02750410,gompertz,rate,-7.643e+00,4.304e-01
NCT00034840,llogis,shape,1.025e-01,1.738e-01
NCT00034840,llogis,scale,6.448e+00,4.540e-01
NCT00051558,llogis,shape,-9.293e-02,6.592e-02
NCT00051558,llogis,scale,7.307e+00,1.127e-01
NCT00125918,llogis,shape,1.450e-01,1.211e-01
NCT00125918,llogis,scale,6.196e+00,2.213e-01
NCT00152984,llogis,shape,-3.698e-01,2.479e-01
NCT00152984,llogis,scale,9.308e+00,1.263e+00
NCT00153023,llogis,shape,-4.226e-01,7.363e-02
NCT00153023,llogis,scale,8.118e+00,2.206e-01
NCT00153088,llogis,shape,-1.369e-01,1.020e-01
NCT00153088,llogis,scale,8.142e+00,2.434e-01
NCT00168831,llogis,shape,-3.804e-01,5.857e-02
NCT00168831,llogis,scale,7.401e+00,1.503e-01
NCT00168844,llogis,shape,-4.044e-01,6.744e-02
NCT00168844,llogis,scale,7.885e+00,1.932e-01
NCT00168857,llogis,shape,-1.973e-01,7.228e-02
NCT00168857,llogis,scale,7.587e+00,1.678e-01
NCT00239421,llogis,shape,3.940e-02,1.972e-01
NCT00239421,llogis,scale,6.810e+00,6.308e-01
NCT00274014,llogis,shape,-1.650e-01,5.882e-02
NCT00274014,llogis,scale,7.128e+00,1.220e-01
NCT00274053,llogis,shape,-1.844e-01,9.090e-02
NCT00274053,llogis,scale,7.265e+00,2.111e-01
NCT00274079,llogis,shape,-2.225e-01,1.363e-01
NCT00274079,llogis,scale,6.806e+00,3.894e-01
NCT00274547,llogis,shape,-2.726e-01,4.804e-02
NCT00274547,llogis,scale,6.919e+00,1.182e-01
NCT00274560,llogis,shape,-3.200e-01,1.171e-01
NCT00274560,llogis,scale,7.384e+00,3.945e-01
NCT00274573,llogis,shape,-2.910e-01,5.587e-02
NCT00274573,llogis,scale,6.454e+00,1.496e-01
NCT00274599,llogis,shape,-1.497e-01,1.035e-01
NCT00274599,llogis,scale,7.039e+00,2.916e-01
NCT00274612,llogis,shape,1.665e-02,1.074e-01
NCT00274612,llogis,scale,6.745e+00,2.617e-01
NCT00277264,llogis,shape,-4.498e-01,6.331e-02
NCT00277264,llogis,scale,7.604e+00,1.778e-01
NCT00321854,llogis,shape,-6.644e-02,7.687e-02
NCT00321854,llogis,scale,7.032e+00,1.411e-01
NCT00384930,llogis,shape,-8.543e-03,7.972e-02
NCT00384930,llogis,scale,6.315e+00,1.784e-01
NCT00402233,llogis,shape,-1.982e-01,1.580e-01
NCT00402233,llogis,scale,6.852e+00,4.514e-01
NCT00466167,llogis,shape,-3.810e-01,1.173e-01
NCT00466167,llogis,scale,8.141e+00,3.892e-01
NCT00472199,llogis,shape,-3.442e-01,9.400e-02
NCT00472199,llogis,scale,6.400e+00,2.244e-01
NCT00479401,llogis,shape,-4.699e-01,9.670e-02
NCT00479401,llogis,scale,7.860e+00,3.086e-01
NCT00525512,llogis,shape,-3.420e-01,7.269e-02
NCT00525512,llogis,scale,7.638e+00,1.686e-01
NCT00563381,llogis,shape,-3.950e-01,2.717e-02
NCT00563381,llogis,scale,8.258e+00,8.289e-02
NCT00601250,llogis,shape,-1.843e-01,1.372e-01
NCT00601250,llogis,scale,8.207e+00,4.604e-01
NCT00602472,llogis,shape,-1.454e-02,1.118e-01
NCT00602472,llogis,scale,7.721e+00,3.165e-01
NCT00622284,llogis,shape,-2.955e-01,4.974e-02
NCT00622284,llogis,scale,8.207e+00,1.212e-01
NCT00641043,llogis,shape,-3.444e-01,1.704e-01
NCT00641043,llogis,scale,8.490e+00,6.367e-01
NCT00654381,llogis,shape,1.084e+00,1.821e-01
NCT00654381,llogis,scale,6.847e+00,1.879e-01
NCT00734474,llogis,shape,-6.063e-02,4.361e-02
NCT00734474,llogis,scale,7.051e+00,7.208e-02
NCT00740051,llogis,shape,3.725e-02,1.329e-01
NCT00740051,llogis,scale,7.105e+00,2.365e-01
NCT00772538,llogis,shape,-4.692e-01,1.437e-01
NCT00772538,llogis,scale,9.334e+00,5.732e-01
NCT00776984,llogis,shape,1.172e-01,1.357e-01
NCT00776984,llogis,scale,7.656e+00,2.887e-01
NCT00782210,llogis,shape,-3.268e-01,8.719e-02
NCT00782210,llogis,scale,7.824e+00,2.354e-01
NCT00782509,llogis,shape,-3.517e-01,9.633e-02
NCT00782509,llogis,scale,8.231e+00,2.902e-01
NCT00793624,llogis,shape,-3.600e-01,7.306e-02
NCT00793624,llogis,scale,7.901e+00,2.057e-01
NCT00798161,llogis,shape,-2.519e-01,9.655e-02
NCT00798161,llogis,scale,7.619e+00,2.844e-01
NCT00800683,llogis,shape,-1.722e-01,1.598e-01
NCT00800683,llogis,scale,7.127e+00,3.291e-01
NCT00848081,llogis,shape,1.097e-01,1.610e-01
NCT00848081,llogis,scale,6.274e+00,3.444e-01
NCT00855582,llogis,shape,-5.708e-02,1.152e-01
NCT00855582,llogis,scale,6.589e+00,2.891e-01
NCT00861757,llogis,shape,1.041e-01,1.392e-01
NCT00861757,llogis,scale,6.637e+00,3.391e-01
NCT00915772,llogis,shape,3.782e-02,9.116e-02
NCT00915772,llogis,scale,7.313e+00,1.696e-01
NCT00926289,llogis,shape,-1.342e-01,1.287e-01
NCT00926289,llogis,scale,6.923e+00,4.259e-01
NCT00954447,llogis,shape,-2.403e-01,7.394e-02
NCT00954447,llogis,scale,8.510e+00,2.111e-01
NCT00970632,llogis,shape,2.348e-01,1.331e-01
NCT00970632,llogis,scale,6.168e+00,2.593e-01
NCT00975195,llogis,shape,-1.492e-01,4.456e-02
NCT00975195,llogis,scale,7.622e+00,1.024e-01
NCT00996658,llogis,shape,2.798e-02,1.776e-01
NCT00996658,llogis,scale,7.168e+00,4.168e-01
NCT01064687,llogis,shape,-1.731e-01,9.527e-02
NCT01064687,llogis,scale,8.425e+00,2.763e-01
NCT01075282,llogis,shape,-3.628e-01,1.061e-01
NCT01075282,llogis,scale,9.400e+00,3.752e-01
NCT01084005,llogis,shape,1.176e-01,2.134e-01
NCT01084005,llogis,scale,7.209e+00,4.975e-01
NCT01087502,llogis,shape,-7.246e-02,1.343e-01
NCT01087502,llogis,scale,7.306e+00,2.700e-01
NCT01126437,llogis,shape,-3.212e-01,1.510e-02
NCT01126437,llogis,scale,8.422e+00,3.777e-02
NCT01126580,llogis,shape,-1.470e-01,8.035e-02
NCT01126580,llogis,scale,7.691e+00,1.878e-01
NCT01131676,llogis,shape,2.893e-01,4.073e-02
NCT01131676,llogis,scale,7.131e+00,4.708e-02
NCT01159600,llogis,shape,-2.717e-01,9.854e-02
NCT01159600,llogis,scale,8.415e+00,3.558e-01
NCT01164501,llogis,shape,-2.071e-01,1.012e-01
NCT01164501,llogis,scale,8.301e+00,2.879e-01
NCT01167881,llogis,shape,-5.536e-01,6.121e-02
NCT01167881,llogis,scale,1.006e+01,2.255e-01
NCT01177813,llogis,shape,-9.472e-02,1.008e-01
NCT01177813,llogis,scale,7.506e+00,2.738e-01
NCT01191268,llogis,shape,-2.524e-01,7.584e-02
NCT01191268,llogis,scale,7.855e+00,1.958e-01
NCT01191944,llogis,shape,-6.426e-01,1.629e-01
NCT01191944,llogis,scale,9.575e+00,8.515e-01
NCT01194830,llogis,shape,-2.780e-01,1.280e-01
NCT01194830,llogis,scale,6.576e+00,3.002e-01
NCT01204294,llogis,shape,-2.588e-01,1.640e-01
NCT01204294,llogis,scale,9.395e+00,6.227e-01
NCT01210001,llogis,shape,-2.876e-01,1.575e-01
NCT01210001,llogis,scale,8.438e+00,5.721e-01
NCT01214239,llogis,shape,-1.318e-01,1.807e-01
NCT01214239,llogis,scale,7.673e+00,5.212e-01
NCT01306214,llogis,shape,3.294e-02,1.033e-01
NCT01306214,llogis,scale,7.548e+00,2.116e-01
NCT01335464,llogis,shape,-5.627e-03,8.849e-02
NCT01335464,llogis,scale,7.156e+00,1.633e-01
NCT01335477,llogis,shape,-6.021e-02,8.607e-02
NCT01335477,llogis,scale,7.236e+00,1.683e-01
NCT01368081,llogis,shape,-1.224e-01,1.002e-01
NCT01368081,llogis,scale,8.622e+00,3.028e-01
NCT01370005,llogis,shape,1.748e-01,1.665e-01
NCT01370005,llogis,scale,7.063e+00,4.616e-01
NCT01422876,llogis,shape,-2.739e-01,6.989e-02
NCT01422876,llogis,scale,8.283e+00,2.019e-01
NCT01558271,llogis,shape,-5.096e-01,1.460e-01
NCT01558271,llogis,scale,9.727e+00,6.272e-01
NCT01621178,llogis,shape,-3.365e-01,9.851e-02
NCT01621178,llogis,scale,8.186e+00,2.858e-01
NCT01624259,llogis,shape,-1.079e-01,1.615e-01
NCT01624259,llogis,scale,8.241e+00,5.299e-01
NCT01694771,llogis,shape,9.014e-02,1.117e-01
NCT01694771,llogis,scale,6.850e+00,2.913e-01
NCT01708902,llogis,shape,-4.101e-01,1.208e-01
NCT01708902,llogis,scale,8.625e+00,4.745e-01
NCT01719003,llogis,shape,-4.294e-01,8.920e-02
NCT01719003,llogis,scale,8.713e+00,3.571e-01
NCT01769378,llogis,shape,-1.596e-01,1.988e-01
NCT01769378,llogis,scale,7.980e+00,6.297e-01
NCT02152371,llogis,shape,-2.564e-01,1.873e-01
NCT02152371,llogis,scale,8.261e+00,6.281e-01
NCT02172287,llogis,shape,-4.938e-01,8.779e-02
NCT02172287,llogis,scale,7.516e+00,2.820e-01
NCT02172586,llogis,shape,-2.109e-01,1.401e-01
NCT02172586,llogis,scale,7.470e+00,3.882e-01
NCT02175355,llogis,shape,2.743e-01,1.223e-01
NCT02175355,llogis,scale,5.803e+00,2.741e-01
NCT02177344,llogis,shape,-5.679e-01,1.097e-01
NCT02177344,llogis,scale,8.603e+00,4.540e-01
NCT02177396,llogis,shape,-7.119e-03,1.724e-01
NCT02177396,llogis,scale,6.545e+00,4.797e-01
NCT02177461,llogis,shape,4.738e-02,8.992e-02
NCT02177461,llogis,scale,6.021e+00,1.452e-01
NCT02183064,llogis,shape,-4.811e-01,9.246e-02
NCT02183064,llogis,scale,8.988e+00,3.943e-01
NCT02200653,llogis,shape,-6.087e-02,2.327e-01
NCT02200653,llogis,scale,7.257e+00,7.945e-01
NCT02240680,llogis,shape,-4.403e-01,1.999e-01
NCT02240680,llogis,scale,9.282e+00,8.514e-01
NCT02489968,llogis,shape,-8.372e-02,1.917e-01
NCT02489968,llogis,scale,8.706e+00,6.363e-01
NCT02750410,llogis,shape,-5.723e-02,2.353e-01
NCT02750410,llogis,scale,8.131e+00,6.077e-01
NCT00034840,lnorm,meanlog,7.478e+00,5.922e-01
NCT00034840,lnorm,sdlog,8.167e-01,1.529e-01
NCT00051558,lnorm,meanlog,7.375e+00,1.298e-01
NCT00051558,lnorm,sdlog,6.903e-01,5.868e-02
NCT00125918,lnorm,meanlog,6.648e+00,2.739e-01
NCT00125918,lnorm,sdlog,6.297e-01,1.063e-01
NCT00152984,lnorm,meanlog,1.147e+01,1.670e+00
NCT00152984,lnorm,sdlog,1.344e+00,2.218e-01
NCT00153023,lnorm,meanlog,8.609e+00,2.614e-01
NCT00153023,lnorm,sdlog,1.120e+00,6.566e-02
NCT00153088,lnorm,meanlog,8.617e+00,2.951e-01
NCT00153088,lnorm,sdlog,8.714e-01,9.083e-02
NCT00168831,lnorm,meanlog,7.700e+00,1.766e-01
NCT00168831,lnorm,sdlog,1.034e+00,5.214e-02
NCT00168844,lnorm,meanlog,8.325e+00,2.285e-01
NCT00168844,lnorm,sdlog,1.092e+00,6.003e-02
NCT00168857,lnorm,meanlog,8.040e+00,2.052e-01
NCT00168857,lnorm,sdlog,9.273e-01,6.335e-02
NCT00239421,lnorm,meanlog,8.019e+00,8.149e-01
NCT00239421,lnorm,sdlog,8.911e-01,1.771e-01
NCT00274014,lnorm,meanlog,7.376e+00,1.438e-01
NCT00274014,lnorm,sdlog,8.227e-01,5.229e-02
NCT00274053,lnorm,meanlog,7.600e+00,2.471e-01
NCT00274053,lnorm,sdlog,8.609e-01,8.160e-02
NCT00274079,lnorm,meanlog,7.393e+00,4.632e-01
NCT00274079,lnorm,sdlog,9.658e-01,1.221e-01
NCT00274547,lnorm,meanlog,7.301e+00,1.405e-01
NCT00274547,lnorm,sdlog,9.621e-01,4.264e-02
NCT00274560,lnorm,meanlog,8.287e+00,4.840e-01
NCT00274560,lnorm,sdlog,1.122e+00,1.038e-01
NCT00274573,lnorm,meanlog,6.867e+00,1.753e-01
NCT00274573,lnorm,sdlog,9.791e-01,5.007e-02
NCT00274599,lnorm,meanlog,7.770e+00,3.564e-01
NCT00274599,lnorm,sdlog,9.433e-01,9.206e-02
NCT00274612,lnorm,meanlog,7.429e+00,3.233e-01
NCT00274612,lnorm,sdlog,7.963e-01,9.526e-02
NCT00277264,lnorm,meanlog,7.918e+00,2.065e-01
NCT00277264,lnorm,sdlog,1.095e+00,5.673e-02
NCT00321854,lnorm,meanlog,7.216e+00,1.643e-01
NCT00321854,lnorm,sdlog,7.022e-01,6.885e-02
NCT00384930,lnorm,meanlog,6.772e+00,2.129e-01
NCT00384930,lnorm,sdlog,7.479e-01,7.130e-02
NCT00402233,lnorm,meanlog,7.309e+00,5.205e-01
NCT00402233,lnorm,sdlog,9.000e-01,1.447e-01
NCT00466167,lnorm,meanlog,8.838e+00,4.654e-01
NCT00466167,lnorm,sdlog,1.127e+00,1.050e-01
NCT00472199,lnorm,meanlog,6.566e+00,2.531e-01
NCT00472199,lnorm,sdlog,9.377e-01,8.561e-02
NCT00479401,lnorm,meanlog,8.399e+00,3.654e-01
NCT00479401,lnorm,sdlog,1.172e+00,8.613e-02
NCT00525512,lnorm,meanlog,7.857e+00,1.989e-01
NCT00525512,lnorm,sdlog,9.799e-01,6.467e-02
NCT00563381,lnorm,meanlog,8.782e+00,9.783e-02
NCT00563381,lnorm,sdlog,1.100e+00,2.431e-02
NCT00601250,lnorm,meanlog,9.279e+00,5.774e-01
NCT00601250,lnorm,sdlog,1.042e+00,1.223e-01
NCT00602472,lnorm,meanlog,8.636e+00,3.973e-01
NCT00602472,lnorm,sdlog,8.755e-01,9.943e-02
NCT00622284,lnorm,meanlog,8.552e+00,1.440e-01
NCT00622284,lnorm,sdlog,9.732e-01,4.414e-02
NCT00641043,lnorm,meanlog,9.627e+00,7.927e-01
NCT00641043,lnorm,sdlog,1.184e+00,1.511e-01
NCT00654381,lnorm,meanlog,7.078e+00,2.233e-01
NCT00654381,lnorm,sdlog,-2.899e-01,1.690e-01
NCT00734474,lnorm,meanlog,7.149e+00,8.492e-02
NCT00734474,lnorm,sdlog,6.825e-01,3.840e-02
NCT00740051,lnorm,meanlog,7.356e+00,2.794e-01
NCT00740051,lnorm,sdlog,6.377e-01,1.186e-01
NCT00772538,lnorm,meanlog,1.047e+01,7.085e-01
NCT00772538,lnorm,sdlog,1.286e+00,1.271e-01
NCT00776984,lnorm,meanlog,8.166e+00,3.491e-01
NCT00776984,lnorm,sdlog,6.589e-01,1.211e-01
NCT00782210,lnorm,meanlog,8.312e+00,2.831e-01
NCT00782210,lnorm,sdlog,1.042e+00,7.702e-02
NCT00782509,lnorm,meanlog,8.808e+00,3.454e-01
NCT00782509,lnorm,sdlog,1.078e+00,8.581e-02
NCT00793624,lnorm,meanlog,8.365e+00,2.436e-01
NCT00793624,lnorm,sdlog,1.058e+00,6.512e-02
NCT00798161,lnorm,meanlog,8.273e+00,3.416e-01
NCT00798161,lnorm,sdlog,1.009e+00,8.613e-02
NCT00800683,lnorm,meanlog,7.401e+00,3.945e-01
NCT00800683,lnorm,sdlog,8.447e-01,1.416e-01
NCT00848081,lnorm,meanlog,6.720e+00,4.087e-01
NCT00848081,lnorm,sdlog,6.387e-01,1.452e-01
NCT00855582,lnorm,meanlog,7.059e+00,3.389e-01
NCT00855582,lnorm,sdlog,7.859e-01,1.046e-01
NCT00861757,lnorm,meanlog,7.178e+00,4.028e-01
NCT00861757,lnorm,sdlog,6.706e-01,1.270e-01
NCT00915772,lnorm,meanlog,7.733e+00,2.109e-01
NCT00915772,lnorm,sdlog,7.188e-01,7.934e-02
NCT00926289,lnorm,meanlog,7.802e+00,5.176e-01
NCT00926289,lnorm,sdlog,9.545e-01,1.169e-01
NCT00954447,lnorm,meanlog,9.111e+00,2.533e-01
NCT00954447,lnorm,sdlog,9.857e-01,6.629e-02
NCT00970632,lnorm,meanlog,6.705e+00,3.202e-01
NCT00970632,lnorm,sdlog,5.740e-01,1.182e-01
NCT00975195,lnorm,meanlog,8.090e+00,1.247e-01
NCT00975195,lnorm,sdlog,8.839e-01,3.932e-02
NCT00996658,lnorm,meanlog,7.886e+00,5.241e-01
NCT00996658,lnorm,sdlog,8.024e-01,1.563e-01
NCT01064687,lnorm,meanlog,9.132e+00,3.341e-01
NCT01064687,lnorm,sdlog,9.550e-01,8.496e-02
NCT01075282,lnorm,meanlog,1.030e+01,4.566e-01
NCT01075282,lnorm,sdlog,1.156e+00,9.439e-02
NCT01084005,lnorm,meanlog,7.894e+00,6.159e-01
NCT01084005,lnorm,sdlog,7.132e-01,1.893e-01
NCT01087502,lnorm,meanlog,7.770e+00,3.410e-01
NCT01087502,lnorm,sdlog,8.347e-01,1.168e-01
NCT01126437,lnorm,meanlog,8.881e+00,4.649e-02
NCT01126437,lnorm,sdlog,1.043e+00,1.319e-02
NCT01126580,lnorm,meanlog,8.106e+00,2.232e-01
NCT01126580,lnorm,sdlog,8.582e-01,7.143e-02
NCT01131676,lnorm,meanlog,7.200e+00,5.957e-02
NCT01131676,lnorm,sdlog,4.042e-01,3.507e-02
NCT01159600,lnorm,meanlog,9.556e+00,4.452e-01
NCT01159600,lnorm,sdlog,1.125e+00,8.766e-02
NCT01164501,lnorm,meanlog,8.935e+00,3.458e-01
NCT01164501,lnorm,sdlog,9.653e-01,9.052e-02
NCT01167881,lnorm,meanlog,1.061e+01,2.611e-01
NCT01167881,lnorm,sdlog,1.238e+00,5.559e-02
NCT01177813,lnorm,meanlog,8.278e+00,3.393e-01
NCT01177813,lnorm,sdlog,9.100e-01,8.944e-02
NCT01191268,lnorm,meanlog,8.245e+00,2.287e-01
NCT01191268,lnorm,sdlog,9.378e-01,6.803e-02
NCT01191944,lnorm,meanlog,1.092e+01,1.031e+00
NCT01191944,lnorm,sdlog,1.448e+00,1.474e-01
NCT01194830,lnorm,meanlog,6.838e+00,3.495e-01
NCT01194830,lnorm,sdlog,9.229e-01,1.149e-01
NCT01204294,lnorm,meanlog,1.066e+01,7.842e-01
NCT01204294,lnorm,sdlog,1.133e+00,1.464e-01
NCT01210001,lnorm,meanlog,9.834e+00,7.430e-01
NCT01210001,lnorm,sdlog,1.192e+00,1.375e-01
NCT01214239,lnorm,meanlog,8.423e+00,6.351e-01
NCT01214239,lnorm,sdlog,9.294e-01,1.618e-01
NCT01306214,lnorm,meanlog,8.081e+00,2.639e-01
NCT01306214,lnorm,sdlog,7.534e-01,9.026e-02
NCT01335464,lnorm,meanlog,7.469e+00,1.979e-01
NCT01335464,lnorm,sdlog,7.116e-01,7.787e-02
NCT01335477,lnorm,meanlog,7.616e+00,2.077e-01
NCT01335477,lnorm,sdlog,7.898e-01,7.531e-02
NCT01368081,lnorm,meanlog,9.706e+00,3.882e-01
NCT01368081,lnorm,sdlog,1.005e+00,8.778e-02
NCT01370005,lnorm,meanlog,7.984e+00,5.828e-01
NCT01370005,lnorm,sdlog,7.200e-01,1.513e-01
NCT01422876,lnorm,meanlog,9.104e+00,2.536e-01
NCT01422876,lnorm,sdlog,1.082e+00,6.091e-02
NCT01558271,lnorm,meanlog,1.115e+01,7.938e-01
NCT01558271,lnorm,sdlog,1.367e+00,1.282e-01
NCT01621178,lnorm,meanlog,8.706e+00,3.388e-01
NCT01621178,lnorm,sdlog,1.050e+00,8.787e-02
NCT01624259,lnorm,meanlog,9.218e+00,6.554e-01
NCT01624259,lnorm,sdlog,9.570e-01,1.456e-01
NCT01694771,lnorm,meanlog,7.711e+00,3.673e-01
NCT01694771,lnorm,sdlog,7.794e-01,9.952e-02
NCT01708902,lnorm,meanlog,9.587e+00,5.717e-01
NCT01708902,lnorm,sdlog,1.199e+00,1.089e-01
NCT01719003,lnorm,meanlog,9.940e+00,4.438e-01
NCT01719003,lnorm,sdlog,1.269e+00,7.859e-02
NCT01769378,lnorm,meanlog,8.677e+00,7.471e-01
NCT01769378,lnorm,sdlog,9.323e-01,1.814e-01
NCT02152371,lnorm,meanlog,9.028e+00,7.498e-01
NCT02152371,lnorm,sdlog,1.032e+00,1.695e-01
NCT02172287,lnorm,meanlog,8.029e+00,3.332e-01
NCT02172287,lnorm,sdlog,1.188e+00,7.818e-02
NCT02172586,lnorm,meanlog,8.281e+00,4.882e-01
NCT02172586,lnorm,sdlog,1.026e+00,1.222e-01
NCT02175355,lnorm,meanlog,6.467e+00,3.392e-01
NCT02175355,lnorm,sdlog,5.731e-01,1.106e-01
NCT02177344,lnorm,meanlog,9.298e+00,5.254e-01
NCT02177344,lnorm,sdlog,1.278e+00,1.002e-01
NCT02177396,lnorm,meanlog,7.290e+00,5.850e-01
NCT02177396,lnorm,sdlog,8.225e-01,1.558e-01
NCT02177461,lnorm,meanlog,6.214e+00,1.728e-01
NCT02177461,lnorm,sdlog,6.101e-01,8.003e-02
NCT02183064,lnorm,meanlog,1.002e+01,4.752e-01
NCT02183064,lnorm,sdlog,1.270e+00,8.358e-02
NCT02200653,lnorm,meanlog,8.630e+00,1.038e+00
NCT02200653,lnorm,sdlog,1.003e+00,2.067e-01
NCT02240680,lnorm,meanlog,1.055e+01,1.065e+00
NCT02240680,lnorm,sdlog,1.279e+00,1.799e-01
NCT02489968,lnorm,meanlog,9.604e+00,7.887e-01
NCT02489968,lnorm,sdlog,9.184e-01,1.769e-01
NCT02750410,lnorm,meanlog,8.700e+00,7.241e-01
NCT02750410,lnorm,sdlog,8.178e-01,2.118e-01
NCT00034840,weibull,shape,8.495e-02,1.750e-01
NCT00034840,weibull,scale,6.521e+00,4.649e-01
NCT00051558,weibull,shape,-2.197e-01,6.888e-02
NCT00051558,weibull,scale,7.709e+00,1.105e-01
NCT00125918,weibull,shape,1.023e-01,1.233e-01
NCT00125918,weibull,scale,6.338e+00,2.323e-01
NCT00152984,weibull,shape,-3.786e-01,2.488e-01
NCT00152984,weibull,scale,9.375e+00,1.279e+00
NCT00153023,weibull,shape,-4.766e-01,7.545e-02
NCT00153023,weibull,scale,8.420e+00,2.334e-01
NCT00153088,weibull,shape,-1.844e-01,1.034e-01
NCT00153088,weibull,scale,8.346e+00,2.543e-01
NCT00168831,weibull,shape,-4.519e-01,6.041e-02
NCT00168831,weibull,scale,7.758e+00,1.584e-01
NCT00168844,weibull,shape,-4.611e-01,6.916e-02
NCT00168844,weibull,scale,8.192e+00,2.043e-01
NCT00168857,weibull,shape,-2.479e-01,7.398e-02
NCT00168857,weibull,scale,7.815e+00,1.762e-01
NCT00239421,weibull,shape,2.902e-02,1.980e-01
NCT00239421,weibull,scale,6.862e+00,6.401e-01
NCT00274014,weibull,shape,-2.342e-01,6.064e-02
NCT00274014,weibull,scale,7.410e+00,1.283e-01
NCT00274053,weibull,shape,-2.462e-01,9.327e-02
NCT00274053,weibull,scale,7.527e+00,2.245e-01
NCT00274079,weibull,shape,-2.574e-01,1.386e-01
