ctgov,dist,parameter,est,se
NCT00800683,gengamma,Q,3.876e-01,7.555e-01
NCT00848081,gengamma,mu,5.933e+00,1.143e+00
NCT00848081,gengamma,sigma,1.164e+00,1.786e-01
NCT00848081,gengamma,Q,-2.125e+00,1.741e+00
NCT00855582,gengamma,mu,6.636e+00,2.919e-01
NCT00855582,gengamma,sigma,-6.219e-01,1.037e-01
NCT00855582,gengamma,Q,2.124e+00,3.392e-02
NCT00861757,gengamma,mu,4.341e+00,7.433e-01
NCT00861757,gengamma,sigma,1.128e+00,1.715e-01
NCT00861757,gengamma,Q,-6.362e+00,2.159e+00
NCT00915772,gengamma,mu,7.418e+00,1.691e-01
NCT00915772,gengamma,sigma,-5.814e-01,7.703e-02
NCT00915772,gengamma,Q,1.909e+00,3.513e-02
NCT00926289,gengamma,mu,6.328e+00,1.356e+00
NCT00926289,gengamma,sigma,1.670e+00,1.205e-01
NCT00926289,gengamma,Q,-3.248e+00,1.707e+00
NCT00954447,gengamma,mu,9.129e+00,2.578e-01
NCT00954447,gengamma,sigma,1.063e+00,2.333e-01
NCT00954447,gengamma,Q,-1.507e-01,4.578e-01
NCT00970632,gengamma,mu,6.159e+00,2.564e-01
NCT00970632,gengamma,sigma,-9.243e-01,1.153e-01
NCT00970632,gengamma,Q,2.110e+00,4.497e-02
NCT00975195,gengamma,mu,7.781e+00,1.041e-01
NCT00975195,gengamma,sigma,-5.678e-01,4.174e-02
NCT00975195,gengamma,Q,2.276e+00,1.204e-02
NCT00996658,gengamma,mu,7.246e+00,4.244e-01
NCT00996658,gengamma,sigma,-1.119e+00,1.723e-01
NCT00996658,gengamma,Q,3.181e+00,3.339e-02
NCT01064687,gengamma,mu,8.410e+00,2.735e-01
NCT01064687,gengamma,sigma,-5.351e-01,8.687e-02
NCT01064687,gengamma,Q,2.146e+00,2.488e-02
NCT01075282,gengamma,mu,9.347e+00,4.420e-01
NCT01075282,gengamma,sigma,-2.290e-01,3.204e+00
NCT01075282,gengamma,Q,1.902e+00,6.092e+00
NCT01084005,gengamma,mu,7.863e+00,1.125e+00
NCT01084005,gengamma,sigma,6.668e-01,1.375e+00
NCT01084005,gengamma,Q,7.396e-02,2.108e+00
NCT01087502,gengamma,mu,7.504e+00,3.258e-01
NCT01087502,gengamma,sigma,3.656e-02,7.510e-01
NCT01087502,gengamma,Q,1.129e+00,1.014e+00
NCT01126437,gengamma,mu,8.658e+00,1.105e-01
NCT01126437,gengamma,sigma,-3.230e-01,5.665e-01
NCT01126437,gengamma,Q,2.151e+00,1.220e+00
NCT01126580,gengamma,mu,8.043e+00,2.943e-01
NCT01126580,gengamma,sigma,1.019e+00,2.480e-01
NCT01126580,gengamma,Q,-3.797e-01,6.564e-01
NCT01131676,gengamma,mu,7.492e+00,6.044e-02
NCT01131676,gengamma,sigma,-5.158e-01,2.212e-01
NCT01131676,gengamma,Q,1.661e+00,4.190e-01
NCT01159600,gengamma,mu,9.217e+00,8.612e-01
NCT01159600,gengamma,sigma,8.678e-01,5.580e-01
NCT01159600,gengamma,Q,3.525e-01,6.783e-01
NCT01164501,gengamma,mu,8.968e+00,3.531e-01
NCT01164501,gengamma,sigma,1.080e+00,3.318e-01
NCT01164501,gengamma,Q,-2.242e-01,6.743e-01
