ctgov,dist,loglik,aic
NCT00152984,gompertz,-1.403e+02,2.846e+02
NCT00153023,gompertz,-1.376e+03,2.757e+03
NCT00153088,gompertz,-7.626e+02,1.529e+03
NCT00168831,gompertz,-2.008e+03,4.020e+03
NCT00168844,gompertz,-1.608e+03,3.221e+03
NCT00168857,gompertz,-1.447e+03,2.898e+03
NCT00239421,gompertz,-1.988e+02,4.016e+02
NCT00274014,gompertz,-2.024e+03,4.052e+03
NCT00274053,gompertz,-8.644e+02,1.733e+03
NCT00274079,gompertz,-3.668e+02,7.376e+02
NCT00274547,gompertz,-2.916e+03,5.836e+03
NCT00274560,gompertz,-5.235e+02,1.051e+03
NCT00274573,gompertz,-2.003e+03,4.010e+03
NCT00274599,gompertz,-6.796e+02,1.363e+03
NCT00274612,gompertz,-6.424e+02,1.289e+03
NCT00277264,gompertz,-1.718e+03,3.440e+03
NCT00321854,gompertz,-1.173e+03,2.350e+03
NCT00384930,gompertz,-1.068e+03,2.139e+03
NCT00402233,gompertz,-2.714e+02,5.468e+02
NCT00466167,gompertz,-5.493e+02,1.103e+03
NCT00472199,gompertz,-6.613e+02,1.327e+03
NCT00479401,gompertz,-7.616e+02,1.527e+03
NCT00525512,gompertz,-1.338e+03,2.681e+03
NCT00563381,gompertz,-1.036e+04,2.072e+04
NCT00601250,gompertz,-4.441e+02,8.921e+02
NCT00602472,gompertz,-6.715e+02,1.347e+03
NCT00622284,gompertz,-3.152e+03,6.309e+03
NCT00641043,gompertz,-2.806e+02,5.651e+02
NCT00654381,gompertz,-2.746e+02,5.533e+02
NCT00734474,gompertz,-3.575e+03,7.154e+03
NCT00740051,gompertz,-4.137e+02,8.314e+02
NCT00772538,gompertz,-4.135e+02,8.310e+02
NCT00776984,gompertz,-4.564e+02,9.168e+02
NCT00782210,gompertz,-9.869e+02,1.978e+03
NCT00782509,gompertz,-8.410e+02,1.686e+03
NCT00793624,gompertz,-1.391e+03,2.785e+03
NCT00798161,gompertz,-8.065e+02,1.617e+03
NCT00800683,gompertz,-2.730e+02,5.500e+02
NCT00848081,gompertz,-2.719e+02,5.478e+02
NCT00855582,gompertz,-5.239e+02,1.052e+03
NCT00861757,gompertz,-3.880e+02,7.799e+02
NCT00915772,gompertz,-9.318e+02,1.868e+03
NCT00926289,gompertz,-4.358e+02,8.757e+02
NCT00954447,gompertz,-1.501e+03,3.005e+03
NCT00970632,gompertz,-4.065e+02,8.170e+02
NCT00975195,gompertz,-3.861e+03,7.725e+03
NCT00996658,gompertz,-2.485e+02,5.010e+02
NCT01064687,gompertz,-9.415e+02,1.887e+03
NCT01075282,gompertz,-7.941e+02,1.592e+03
NCT01084005,gompertz,-1.787e+02,3.614e+02
NCT01087502,gompertz,-4.156e+02,8.351e+02
NCT01126437,gompertz,-3.532e+04,7.065e+04
NCT01126580,gompertz,-1.199e+03,2.402e+03
NCT01131676,gompertz,-4.099e+03,8.202e+03
NCT01159600,gompertz,-8.538e+02,1.712e+03
NCT01164501,gompertz,-8.052e+02,1.614e+03
NCT01167881,gompertz,-2.277e+03,4.558e+03
NCT01177813,gompertz,-7.741e+02,1.552e+03
NCT01191268,gompertz,-1.323e+03,2.649e+03
NCT01191944,gompertz,-2.904e+02,5.849e+02
NCT01194830,gompertz,-3.835e+02,7.711e+02
NCT01204294,gompertz,-3.449e+02,6.937e+02
NCT01210001,gompertz,-3.368e+02,6.775e+02
NCT01214239,gompertz,-2.423e+02,4.887e+02
NCT01306214,gompertz,-7.557e+02,1.515e+03
NCT01335464,gompertz,-9.426e+02,1.889e+03
NCT01335477,gompertz,-1.000e+03,2.005e+03
NCT01368081,gompertz,-8.972e+02,1.798e+03
NCT01370005,gompertz,-3.005e+02,6.051e+02
NCT01422876,gompertz,-1.679e+03,3.361e+03
NCT01558271,gompertz,-4.118e+02,8.275e+02
NCT01621178,gompertz,-8.015e+02,1.607e+03
NCT01624259,gompertz,-3.308e+02,6.655e+02
NCT01694771,gompertz,-6.243e+02,1.253e+03
NCT01708902,gompertz,-5.406e+02,1.085e+03
NCT01719003,gompertz,-1.021e+03,2.045e+03
NCT01769378,gompertz,-2.046e+02,4.132e+02
NCT02152371,gompertz,-2.304e+02,4.648e+02
NCT02172287,gompertz,-8.789e+02,1.762e+03
NCT02172586,gompertz,-3.870e+02,7.779e+02
NCT02175355,gompertz,-4.794e+02,9.628e+02
NCT02177344,gompertz,-5.885e+02,1.181e+03
NCT02177396,gompertz,-2.416e+02,4.872e+02
NCT02177461,gompertz,-7.661e+02,1.536e+03
NCT02183064,gompertz,-9.201e+02,1.844e+03
NCT02200653,gompertz,-1.456e+02,2.952e+02
NCT02240680,gompertz,-2.020e+02,4.080e+02
NCT02489968,gompertz,-2.268e+02,4.576e+02
NCT02750410,gompertz,-1.535e+02,3.110e+02
NCT00034840,llogis,-2.476e+02,4.993e+02
NCT00051558,llogis,-1.565e+03,3.133e+03
NCT00125918,llogis,-4.731e+02,9.501e+02
NCT00152984,llogis,-1.398e+02,2.837e+02
NCT00153023,llogis,-1.376e+03,2.756e+03
NCT00153088,llogis,-7.625e+02,1.529e+03
NCT00168831,llogis,-2.003e+03,4.011e+03
NCT00168844,llogis,-1.606e+03,3.217e+03
NCT00168857,llogis,-1.444e+03,2.893e+03
NCT00239421,llogis,-1.988e+02,4.016e+02
NCT00274014,llogis,-2.023e+03,4.051e+03
NCT00274053,llogis,-8.689e+02,1.742e+03
NCT00274079,llogis,-3.674e+02,7.388e+02
NCT00274547,llogis,-2.919e+03,5.842e+03
NCT00274560,llogis,-5.213e+02,1.047e+03
NCT00274573,llogis,-2.010e+03,4.024e+03
NCT00274599,llogis,-6.806e+02,1.365e+03
NCT00274612,llogis,-6.425e+02,1.289e+03
NCT00277264,llogis,-1.718e+03,3.441e+03
NCT00321854,llogis,-1.175e+03,2.354e+03
NCT00384930,llogis,-1.069e+03,2.142e+03
